BRAND,FlashName,ID,CE,TYPE,SIZE,FlashID1,FlashID2,FlashID,MaxBlock,MaxPage,MaxSector,MaxZone,MaxBank,MaxPhyBlock,MaxLogBlock,BlockPerDie,RWCycle,6913RWCycle,6919RWCycle,BinFileName,BinFileNameLLF,DQSDelay,6913DQSDelay,DefWrite,DefRead,FMAutoECC,ECCClock,Driving,6913Driving,6921Driving,BBPercent1,BBPercent2,EnableBitECC,Enable12BitECC,DisableWriteCache,DisableReadStatus,Homogenous,ThreadNumber,OriginOSC,Toggle,ECCAllow,FlashCase,LoadTLC_FW,FullFirmwareBlock,EnableBCT,SLC_boundary,Sync,ReadRetryTable,FirmwarePage,LoadPattern_FW,LLFBLOCK,LLFBLOCK_ECC,InterceptUFI,FW_Enable_Toggle,ZoneShift,ShiftByte,SET_LC_enable ,LC_Value,for_DG,FlashDriving,FlashDriving2 ,InitValue_Enable,9023,9024,SLC_Path,SLC_Mode,1Ynm
Transcend,TAGSTAP-0S06,"0xEC,0xD5,0x98,0xCE,0x74,0xC4",1,TLC,2048,80,10,0x3C,2048,384,16,1,1,1024,650,697,0x03,0x03,1,98_3C_K9ACG.BIN,98_3C_K9ACG.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.5,6.5,72,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x00,0x00,0x02,XX,0,0
Transcend,TFGSTAP-1Q03,"0xEC,0x3A,0xD9,0xCE,0x78,0xC4",2,TLC,32768,84,6,0x3D,2048,384,16,4,4,2048,1950,5576,0x03,0x03,1,98_3D_K9ACG.BIN,98_3D_K9ACG.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.5,6.5,72,0,0,0,1,5,0,1,0,0,1,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x00,0x00,0x02,XX,0,0
Transcend,TFGSTAP-1Q06,"0xEC,0x3A,0xD9,0xCE,0x78,0xC4",2,TLC,32768,84,7,0x3D,2048,384,16,4,4,2048,1950,5576,0x03,0x03,1,98_3D_K9ACG.BIN,98_3D_K9ACG.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.5,6.5,72,0,0,0,1,5,0,1,0,0,1,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x00,0x00,0x02,XX,0,0
Transcend,TFGSTAP-1Q04,"0xEC,0x3A,0xD9,0xCE,0x78,0xC4",2,TLC,32768,84,8,0x3D,2048,384,16,4,4,2048,1950,5576,0x03,0x03,1,98_3D_K9ACG.BIN,98_3D_K9ACG.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.5,6.5,72,0,0,0,1,5,0,1,0,0,1,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x00,0x00,0x02,XX,0,0
Transcend,FDGMM3P-2Q06,"0x2C,0x68,0x04,0x4A,0xA9,0x00",4,MLC,16384,83,8,0x64,2048,512,8,2,1,2048,1950,-1,0x03,0x03,1,98_85_L74DDP.BIN,98_85_L74DDP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.5,6.5,24,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0,0,0,0,0,0x00,0x00,0x02,XX,0,0
Micron,MT29F64G08EBAAA,"0x2C,0x88,0x08,0x5F,0x89,0x00",1,TLC,8192,82,5,0x87,2048,768,16,1,1,2048,1300,1368,0x03,0x03,1,98_87_B74_SDP.BIN,98_87_B74_SDP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.5,6.5,68,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x51,0x70,0x02,B74,0,0
Transcend,FCGMT4P-0S03,"0x2C,0x88,0x08,0x5F,0x89,0x00",1,TLC,8192,82,21,0x87,2048,768,16,1,1,2048,1300,1368,0x03,0x03,1,98_87_B74_SDP.BIN,98_87_B74_SDP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.5,6.5,68,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x51,0x70,0x02,B74,0,0
Transcend,FCGMT4P-0S04,"0x2C,0x88,0x08,0x5F,0x89,0x00",1,TLC,8192,82,19,0x87,2048,768,16,1,1,2048,1300,1368,0x03,0x03,1,98_87_B74_SDP.BIN,98_87_B74_SDP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.5,6.5,68,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x51,0x70,0x02,B74,0,0
Transcend,FCGMT4P-0S06,"0x2C,0x88,0x08,0x5F,0x89,0x00",1,TLC,8192,82,20,0x87,2048,768,16,1,1,2048,1300,1368,0x03,0x03,1,98_87_B74_SDP.BIN,98_87_B74_SDP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x88,0x00,6.5,6.5,68,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x51,0x70,0x02,B74,0,0
Micron,MT29F64G08EBAAA*2,"0x2C,0x88,0x08,0x5F,0x89,0x00",2,TLC,16384,82,5,0x88,2048,768,16,1,1,2048,1300,1368,0x03,0x03,1,98_88_B74_DDP.BIN,98_88_B74_DDP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x33,0x11,0x00,6.5,6.5,68,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x51,0x70,0x02,B74,1,0
